Date,MASI (Maroc)
2010-01-03,10782.2
2010-01-10,10810.91
2010-01-17,10920.14
2010-01-24,10928.44
2010-01-31,10926.96
2010-02-07,11097.27
2010-02-14,11053.55
2010-02-21,11096.8
2010-02-28,10985.17
2010-03-07,11021.88
2010-03-14,10984.99
2010-03-21,11228.49
2010-03-28,11353.56
2010-04-04,11394.1
2010-04-11,11966.51
2010-04-18,12135.52
2010-04-25,12286.99
2010-05-02,12171.89
2010-05-09,12294.67
2010-05-16,12370.36
2010-05-23,11990.24
2010-05-30,12162.58
2010-06-06,12290.23
2010-06-13,12056.74
2010-06-20,12014.97
2010-06-27,11785.96
2010-07-04,11739.71
2010-07-11,11846.22
2010-07-18,11857.08
2010-07-25,11782.52
2010-08-01,11761.11
2010-08-08,11628.28
2010-08-15,11499.64
2010-08-22,11764.99
2010-08-29,11701.11
2010-09-05,11694.4
2010-09-12,11683.77
2010-09-19,11718.23
2010-09-26,11825.45
2010-10-03,11862.31
2010-10-10,12113.52
2010-10-17,12325.96
2010-10-24,12196.7
2010-10-31,12229.27
2010-11-07,12235.44
2010-11-14,12326.38
2010-11-21,12115.95
2010-11-28,12401.03
2010-12-05,12813.85
2010-12-12,12714.58
2010-12-19,12645.3
2010-12-26,12655.2
2011-01-02,13027.52
2011-01-09,13292.27
2011-01-16,13151.07
2011-01-23,12860.16
2011-01-30,12560.01
2011-02-06,12775.71
2011-02-13,12629.05
2011-02-20,12709.84
2011-02-27,12728.73
2011-03-06,12770.18
2011-03-13,12661.6
2011-03-20,12416.27
2011-03-27,11956.83
2011-04-03,12038.88
2011-04-10,11937.23
2011-04-17,11957.23
2011-04-24,11551.5
2011-05-01,11915.01
2011-05-08,12064.39
2011-05-15,11880.61
2011-05-22,12154.48
2011-05-29,12196.53
2011-06-05,12036.45
2011-06-12,11741.51
2011-06-19,11601.53
2011-06-26,11518.26
2011-07-03,11577.99
2011-07-10,11458.32
2011-07-17,11281.84
2011-07-24,11202.95
2011-07-31,11020.52
2011-08-07,11366.56
2011-08-14,11354.9
2011-08-21,11331.07
2011-08-28,11613.62
2011-09-04,11534.78
2011-09-11,11433.03
2011-09-18,11393.84
2011-09-25,11467.63
2011-10-02,11374.16
2011-10-09,11546.68
2011-10-16,11381.58
2011-10-23,11279.06
2011-10-30,11255.72
2011-11-06,11225.12
2011-11-13,11105.94
2011-11-20,10836.24
2011-11-27,10932.99
2011-12-04,10869.31
2011-12-11,10973.86
2011-12-18,11121.98
2011-12-25,11027.65
2012-01-01,11026.18
2012-01-08,10989.95
2012-01-15,11158.58
2012-01-22,11169.24
2012-01-29,11360.88
2012-02-05,11353.61
2012-02-12,11396.9
2012-02-19,11420.95
2012-02-26,11413.82
2012-03-04,11355.3
2012-03-11,11088.37
2012-03-18,11000.78
2012-03-25,10948.45
2012-04-01,10512.04
2012-04-08,10232.79
2012-04-15,10378.19
2012-04-22,10218.22
2012-04-29,10302.08
2012-05-06,10244.27
2012-05-13,9747.04
2012-05-20,10052.14
2012-05-27,10230.29
2012-06-03,10150.55
2012-06-10,10052.41
2012-06-17,10034.72
2012-06-24,10053.9
2012-07-01,9958.38
2012-07-08,9668.79
2012-07-15,9862.11
2012-07-22,9773.19
2012-07-29,9922.74
2012-08-05,9923.85
2012-08-12,9850.8
2012-08-19,9867.45
2012-08-26,9944.22
2012-09-02,9819.69
2012-09-09,9829.26
2012-09-16,9509.51
2012-09-23,9471.8
2012-09-30,9462.87
2012-10-07,9281.31
2012-10-14,9094.9
2012-10-21,9559.43
2012-10-28,9539.03
2012-11-04,9692.29
2012-11-11,9683.69
2012-11-18,9661.52
2012-11-25,9733.62
2012-12-02,9749.52
2012-12-09,9630.03
2012-12-16,9557.97
2012-12-23,9388.83
2012-12-30,9271.61
2013-01-06,9227.5
2013-01-13,8927.27
2013-01-20,8899.59
2013-01-27,8933.31
2013-02-03,8936.5
2013-02-10,8847.04
2013-02-17,8833.12
2013-02-24,8828.85
2013-03-03,8759.15
2013-03-10,8834.71
2013-03-17,8913.79
2013-03-24,9040.96
2013-03-31,9066.71
2013-04-07,9262.38
2013-04-14,9260.51
2013-04-21,9238.78
2013-04-28,9200.41
2013-05-05,9217.89
2013-05-12,9027.69
2013-05-19,8811.42
2013-05-26,8906.65
2013-06-02,8826.53
2013-06-09,8700.99
2013-06-16,8860.91
2013-06-23,8792.15
2013-06-30,8663.71
2013-07-07,8715.47
2013-07-14,8784.14
2013-07-21,8658.45
2013-07-28,8570.01
2013-08-04,8529.99
2013-08-11,8506.54
2013-08-18,8473.16
2013-08-25,8413.72
2013-09-01,8473.2
2013-09-08,8463.5
2013-09-15,8420.87
2013-09-22,8680.7
2013-09-29,8714.66
2013-10-06,8835.01
2013-10-13,8881.61
2013-10-20,9222.3
2013-10-27,9322.1
2013-11-03,9295.56
2013-11-10,9249.18
2013-11-17,9159.77
2013-11-24,9262.49
2013-12-01,9240.41
2013-12-08,9315.57
2013-12-15,9279.48
2013-12-22,9209.8
2013-12-29,9154.17
2014-01-05,9079.1
2014-01-12,9190.08
2014-01-19,9120.19
2014-01-26,9121.28
2014-02-02,9148.89
2014-02-09,9205.78
2014-02-16,9258.73
2014-02-23,9442.36
2014-03-02,9544.1
2014-03-09,9571.64
2014-03-16,9576.3
2014-03-23,9587.03
2014-03-30,9522.21
2014-04-06,9600.22
2014-04-13,9555.05
2014-04-20,9515.48
2014-04-27,9484.14
2014-05-04,9455.1
2014-05-11,9449.3
2014-05-18,9485.55
2014-05-25,9494.79
2014-06-01,9338.38
2014-06-08,9398.85
2014-06-15,9271.94
2014-06-22,9247.45
2014-06-29,9205.12
2014-07-06,9229.87
2014-07-13,9249.78
2014-07-20,9300.08
2014-07-27,9325.05
2014-08-03,9426.32
2014-08-10,9414.02
2014-08-17,9429.39
2014-08-24,9544.69
2014-08-31,9635.68
2014-09-07,9830.89
2014-09-14,9966.65
2014-09-21,9991.47
2014-09-28,10071.85
2014-10-05,9991.14
2014-10-12,10099.34
2014-10-19,10221.38
2014-10-26,10352.05
2014-11-02,10258.92
2014-11-09,10127.05
2014-11-16,10131.79
2014-11-23,9975.71
2014-11-30,9861.34
2014-12-07,9747.8
2014-12-14,9617.48
2014-12-21,9650.21
2014-12-28,9643.19
2015-01-04,9993.19
2015-01-11,10334.72
2015-01-18,10178.7
2015-01-25,10222.56
2015-02-01,10353.17
2015-02-08,10257.82
2015-02-15,10404.31
2015-02-22,10460.62
2015-03-01,10456.47
2015-03-08,10476.89
2015-03-15,10411.35
2015-03-22,10292.43
2015-03-29,9958.69
2015-04-05,9889.12
2015-04-12,9898.9
2015-04-19,9876.57
2015-04-26,9937.38
2015-05-03,9880.33
2015-05-10,9851.73
2015-05-17,9667.42
2015-05-24,9711.36
2015-05-31,9736.55
2015-06-07,9647.75
2015-06-14,9581.36
2015-06-21,9575.31
2015-06-28,9621.22
2015-07-05,9646.24
2015-07-12,9676.99
2015-07-19,9692.06
2015-07-26,9740.01
2015-08-02,9716.22
2015-08-09,9653.11
2015-08-16,9517.02
2015-08-23,9307.37
2015-08-30,9307.51
2015-09-06,9301.77
2015-09-13,9063.19
2015-09-20,9219.13
2015-09-27,9117.5
2015-10-04,9020.26
2015-10-11,9007.41
2015-10-18,9005.9
2015-10-25,9081.8
2015-11-01,9172.84
2015-11-08,9261.07
2015-11-15,9193.04
2015-11-22,9085.25
2015-11-29,9069.55
2015-12-06,8856.28
2015-12-13,8860.92
2015-12-20,8893.1
2015-12-27,8925.71
2016-01-03,8836.93
2016-01-10,8853.56
2016-01-17,8868.44
2016-01-24,8898.99
2016-01-31,9030.48
2016-02-07,9057.7
2016-02-14,9219.48
2016-02-21,9004.26
2016-02-28,9099.16
2016-03-06,9192.11
2016-03-13,9297.13
2016-03-20,9540.03
2016-03-27,9307.16
2016-04-03,9383.72
2016-04-10,9541.05
2016-04-17,9519.32
2016-04-24,9975.72
2016-05-01,10157.29
2016-05-08,10100.57
2016-05-15,9940.25
2016-05-22,9751.02
2016-05-29,9832.64
2016-06-05,9753.4
2016-06-12,9649.6
2016-06-19,9603.16
2016-06-26,9512.71
2016-07-03,9620.44
2016-07-10,9794.68
2016-07-17,9814.73
2016-07-24,9882.2
2016-07-31,9918.23
2016-08-07,9948.26
2016-08-14,9951.61
2016-08-21,9954.88
2016-08-28,9933.46
2016-09-04,9995.19
2016-09-11,9992.27
2016-09-18,10000.05
2016-09-25,10039.14
2016-10-02,10209.05
2016-10-09,10282.14
2016-10-16,10378.76
2016-10-23,10482.3
2016-10-30,10522.42
2016-11-06,10551.43
2016-11-13,10697.55
2016-11-20,10642.47
2016-11-27,10621.99
2016-12-04,10957.24
2016-12-11,11304.83
2016-12-18,11927.19
2016-12-25,11644.22
2017-01-01,12572.94
2017-01-08,12722.6
2017-01-15,12592.53
2017-01-22,12507.99
2017-01-29,12228.99
2017-02-05,12233.88
2017-02-12,12165.07
2017-02-19,11777.37
2017-02-26,11947.43
2017-03-05,11935.03
2017-03-12,11929.65
2017-03-19,11502.71
2017-03-26,11379.71
2017-04-02,11319.54
2017-04-09,11222.64
2017-04-16,11330.12
2017-04-23,11637.93
2017-04-30,11743.86
2017-05-07,11747.86
2017-05-14,11683.62
2017-05-21,11592.31
2017-05-28,11615.28
2017-06-04,11693.71
2017-06-11,11750.82
2017-06-18,11956.76
2017-06-25,12015.84
2017-07-02,12354.35
2017-07-09,12307.65
2017-07-16,12120.77
2017-07-23,12323.97
2017-07-30,12174.11
2017-08-06,12326.17
2017-08-13,12246.67
2017-08-20,12202.67
2017-08-27,12397.12
2017-09-03,12602.2
2017-09-10,12716.01
2017-09-17,12442.31
2017-09-24,12140.47
2017-10-01,12392.8
2017-10-08,12484.82
2017-10-15,12306.9
2017-10-22,12402.61
2017-10-29,12451.64
2017-11-05,12612.9
2017-11-12,12621.52
2017-11-19,12572.3
2017-11-26,12568.42
2017-12-03,12386.9
2017-12-10,12384.04
2017-12-17,12174.96
2017-12-24,12388.82
2017-12-31,12537.75
2018-01-07,12666.4
2018-01-14,12950.73
2018-01-21,13010.56
2018-01-28,13280.76
2018-02-04,13096.31
2018-02-11,13161.41
2018-02-18,13215.31
2018-02-25,13167.08
2018-03-04,13284.94
2018-03-11,13208.59
2018-03-18,13065.18
2018-03-25,13062.38
2018-04-01,12895.23
2018-04-08,12993.74
2018-04-15,12974.23
2018-04-22,13056.86
2018-04-29,13038.74
2018-05-06,12876.0
2018-05-13,12631.94
2018-05-20,12501.86
2018-05-27,12247.4
2018-06-03,12439.91
2018-06-10,12324.62
2018-06-17,12233.63
2018-06-24,11878.65
2018-07-01,11703.0
2018-07-08,11486.28
2018-07-15,11427.98
2018-07-22,11736.66
2018-07-29,11732.55
2018-08-05,11702.66
2018-08-12,11720.32
2018-08-19,11702.84
2018-08-26,11546.49
2018-09-02,11102.93
2018-09-09,11162.43
2018-09-16,11196.39
2018-09-23,11335.55
2018-09-30,11211.21
2018-10-07,11151.45
2018-10-14,11119.06
2018-10-21,11070.96
2018-10-28,10885.51
2018-11-04,11076.25
2018-11-11,11143.56
2018-11-18,11134.16
2018-11-25,11229.28
2018-12-02,11204.04
2018-12-09,11143.73
2018-12-16,11176.0
2018-12-23,11188.28
2018-12-30,11120.89
2019-01-06,11089.52
2019-01-13,11202.72
2019-01-20,11301.89
2019-01-27,11358.73
2019-02-03,11375.15
2019-02-10,11384.56
2019-02-17,11296.67
2019-02-24,11163.7
2019-03-03,11106.95
2019-03-10,10978.78
2019-03-17,10965.18
2019-03-24,10912.23
2019-03-31,10928.02
2019-04-07,11015.0
2019-04-14,11113.87
2019-04-21,11138.51
2019-04-28,11161.26
2019-05-05,11237.5
2019-05-12,11351.52
2019-05-19,11087.32
2019-05-26,10999.88
2019-06-02,11034.35
2019-06-09,11072.74
2019-06-16,11437.84
2019-06-23,11287.04
2019-06-30,11241.0
2019-07-07,11311.02
2019-07-14,11482.12
2019-07-21,11563.98
2019-07-28,11611.55
2019-08-04,11565.2
2019-08-11,11618.02
2019-08-18,11610.09
2019-08-25,11710.94
2019-09-01,11592.69
2019-09-08,11601.68
2019-09-15,11441.98
2019-09-22,11530.23
2019-09-29,11446.54
2019-10-06,11362.98
2019-10-13,11507.74
2019-10-20,11574.59
2019-10-27,11575.56
2019-11-03,11578.68
2019-11-10,11626.55
2019-11-17,11809.15
2019-11-24,11822.32
2019-12-01,11764.13
2019-12-08,11973.63
2019-12-15,12165.65
2019-12-22,12189.28
2019-12-29,12154.94
2020-01-05,12311.35
2020-01-12,12486.85
2020-01-19,12600.45
2020-01-26,12531.9
2020-02-02,12165.23
2020-02-09,12340.24
2020-02-16,12506.96
2020-02-23,12260.94
2020-03-01,11474.03
2020-03-08,10524.05
2020-03-15,9609.27
2020-03-22,9743.75
2020-03-29,9395.76
2020-04-05,9300.27
2020-04-12,9084.88
2020-04-19,9043.75
2020-04-26,9400.7
2020-05-03,9517.12
2020-05-10,9413.67
2020-05-17,9691.94
2020-05-24,9852.8
2020-05-31,10124.27
2020-06-07,9927.06
2020-06-14,10356.28
2020-06-21,10113.99
2020-06-28,10225.67
2020-07-05,10148.91
2020-07-12,10280.63
2020-07-19,10222.4
2020-07-26,10228.27
2020-08-02,10256.81
2020-08-09,10309.05
2020-08-16,10265.78
2020-08-23,10073.41
2020-08-30,10190.57
2020-09-06,10232.32
2020-09-13,10084.21
2020-09-20,9952.63
2020-09-27,10086.09
2020-10-04,10205.85
2020-10-11,10323.93
2020-10-18,10453.86
2020-10-25,10460.66
2020-11-01,10360.98
2020-11-08,10657.54
2020-11-15,10900.41
2020-11-22,10888.99
2020-11-29,10977.68
2020-12-06,11366.94
2020-12-13,11520.24
2020-12-20,11247.33
2020-12-27,11287.38
2021-01-03,11249.14
2021-01-10,11416.19
2021-01-17,11563.73
2021-01-24,11630.01
2021-01-31,11713.5
2021-02-07,11556.59
2021-02-14,11467.04
2021-02-21,11358.17
2021-02-28,11350.12
2021-03-07,11415.05
2021-03-14,11465.21
2021-03-21,11499.38
2021-03-28,11572.95
2021-04-04,11579.84
2021-04-11,11669.34
2021-04-18,11739.44
2021-04-25,11811.23
2021-05-02,12012.39
2021-05-09,12041.98
2021-05-16,12142.83
2021-05-23,12162.51
2021-05-30,12375.91
2021-06-06,12462.8
2021-06-13,12487.66
2021-06-20,12417.6
2021-06-27,12426.0
2021-07-04,12234.85
2021-07-11,12166.09
